dept,tenure,total,question,answer,value
National Defence,Total,19903.2698,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,36.5644725
National Defence,Indeterminate,12295.7717,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,35.9875704
National Defence,Term,7607.4981,Staffing activities are carried out in a transparent way,shr_To_a_moderate_extent,37.3623422
Public Service Total,Total,176741.0842,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,42.16031794
Public Service Total,Indeterminate,80328.3862,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,40.09864082
Public Service Total,Term,96412.698,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,43.75304594
Employment and Social Development Canada,Total,17354.8264,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,45.62539152
Employment and Social Development Canada,Indeterminate,5266.1459,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,43.12714777
Employment and Social Development Canada,Term,12088.6805,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,46.71565687
National Defence,Total,21562.7816,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,42.16103896
National Defence,Indeterminate,13246.1509,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,40.35624325
National Defence,Term,8316.6307,I Believe that we hire people who can do the job,shr_To_a_moderate_extent,44.62748955
Public Service Total,Total,167782.8753,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,38.19378495
Public Service Total,Indeterminate,76826.1106,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,36.03941952
Public Service Total,Term,90956.7647,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,39.87962288
Employment and Social Development Canada,Total,16252.6958,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,40.1048639
Employment and Social Development Canada,Indeterminate,4958.6702,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,37.23054439
Employment and Social Development Canada,Term,11294.0256,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,41.36823511
National Defence,Total,20463.5252,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,37.16891966
National Defence,Indeterminate,12699.5465,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,35.62547099
National Defence,Term,7763.9787,The process of selecting a person for a position is done fairly,shr_To_a_moderate_extent,39.32999209
